query,walk_selected,walk_depth,walk_parent,walk_auroc,walk_best_sib_auroc,walk_second_sib_auroc,walk_sib_delta,walk_vote,walk_override,walk_decision_support,walk_relation,transport_family,transport_node,transport_mass,transport_eff_leaves,transport_bin,agreement
0529 Vip Gaba_5,036 Vip Gaba,1,root,0.9855687505357484,0.9855687505357484,0.978873378742821,nan,0.9818181818181818,True,nan,leaf,,,nan,nan,unmatched,walk_only
0533 Vip Gaba_6,,nan,,nan,0.9718815270819919,0.9898491606074407,-0.018157866066240556,0.7297297297297297,False,1.0,discordant,,,nan,nan,unmatched,both_unmatched
0547 Sncg Gaba_6,037 Sncg Gaba,1,root,0.9976761121871616,0.9976761121871616,0.2407692659640989,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0553 Sncg Gaba_3,037 Sncg Gaba,1,root,0.9955825285101529,0.9955825285101529,0.1664446785072736,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0560 Sncg Gaba_4,037 Sncg Gaba,1,root,0.9986781109662466,0.9986781109662466,0.4624237449096206,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0580 Lamp5 Gaba_1,039 Lamp5 Gaba,1,root,0.9974833622142663,0.9974833622142663,0.2717601218130647,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0581 Lamp5 Gaba_1,039 Lamp5 Gaba,1,root,0.9812621801904392,0.9812621801904392,0.31700204141149024,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0582 Lamp5 Gaba_1,039 Lamp5 Gaba,1,root,0.9908350819982719,0.9908350819982719,0.23564779065394806,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0587 Lamp5 Gaba_2,,nan,,nan,0.9579254754319915,0.9654189593590115,-0.007406337484313158,0.43333333333333335,False,1.0,discordant,,,nan,nan,unmatched,both_unmatched
0605 Pvalb chandelier Gaba,041 Pvalb chandelier Gaba,1,root,1.0,1.0,0.32691604178559,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0607 Pvalb Gaba_1,042 Pvalb Gaba,1,root,0.9641585947236198,0.9641585947236198,0.18454538860718595,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0618 Pvalb Gaba_3,042 Pvalb Gaba,1,root,0.9654398059407511,0.9654398059407511,0.38518959773685674,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0619 Pvalb Gaba_3,042 Pvalb Gaba,1,root,0.9875416664487928,0.9875416664487928,0.16732941324474018,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0620 Pvalb Gaba_8,042 Pvalb Gaba,1,root,0.9921375883073767,0.9921375883073767,0.041789035493315946,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0621 Pvalb Gaba_3,042 Pvalb Gaba,1,root,0.9660835326953748,0.9660835326953748,0.902884487588435,nan,0.9912280701754386,True,nan,leaf,,,nan,nan,unmatched,walk_only
0624 Pvalb Gaba_4,042 Pvalb Gaba,1,root,0.9459472302679218,0.9459472302679218,0.10663694786386677,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0625 Pvalb Gaba_5,042 Pvalb Gaba,1,root,0.9556332709081314,0.9556332709081314,0.036178336040724686,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0628 Pvalb Gaba_4,042 Pvalb Gaba,1,root,0.9659668609632492,0.9659668609632492,0.9211156254557387,nan,0.9921875,True,nan,leaf,,,nan,nan,unmatched,walk_only
0631 Sst Gaba_13,043 Sst Gaba,1,root,0.9827336969985186,0.9827336969985186,0.1465173404222509,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0638 Sst Gaba_1,043 Sst Gaba,1,root,0.9473064722716993,0.9473064722716993,0.9234832489443032,0.023903332449416618,0.8793103448275862,False,1.0,leaf,,,nan,nan,unmatched,walk_only
0641 Sst Gaba_12,043 Sst Gaba,1,root,0.9485196687370601,0.9485196687370601,0.920788474810214,nan,0.9523809523809523,True,nan,leaf,,,nan,nan,unmatched,walk_only
0664 Sst Gaba_4,043 Sst Gaba,1,root,0.9966450033421114,0.9966450033421114,0.11736045678207017,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0665 Sst Gaba_11,043 Sst Gaba,1,root,0.982237492331811,0.982237492331811,0.0526080362620135,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0666 Sst Gaba_4,043 Sst Gaba,1,root,0.9784790513833992,0.9784790513833992,0.16457628458498025,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0668 Sst Gaba_4,043 Sst Gaba,1,root,0.9817216592655063,0.9817216592655063,0.20598011569529182,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0669 Sst Gaba_4,043 Sst Gaba,1,root,0.9927603577670402,0.9927603577670402,0.08589775881566773,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0673 Sst Gaba_16,043 Sst Gaba,1,root,0.9673244978572191,0.9673244978572191,0.24335432902743676,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0675 Sst Gaba_5,,nan,,nan,0.9409719855497239,0.9335423624838116,0.007587609058687206,0.6470588235294118,False,0.775,discordant,,,nan,nan,unmatched,both_unmatched
0677 Sst Gaba_5,043 Sst Gaba,1,root,0.9539735698769009,0.9539735698769009,0.18781453656770455,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0688 Sst Gaba_7,043 Sst Gaba,1,root,0.9636769333100608,0.9636769333100608,0.330094206556248,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
0695 Sst Gaba_10,043 Sst Gaba,1,root,0.961753175992188,0.961753175992188,0.9819172473004656,nan,0.987012987012987,True,nan,leaf,,,nan,nan,unmatched,walk_only
0697 Sst Gaba_8,043 Sst Gaba,1,root,0.9518486199987073,0.9518486199987073,0.918482968133928,nan,0.9,True,nan,leaf,,,nan,nan,unmatched,walk_only
0731 Sst Chodl Gaba_4,046 Sst Chodl Gaba,1,root,1.0,1.0,0.4199554291753337,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
5113 Astro-TE NN_3,287 Astro-TE NN,1,root,1.0,1.0,0.4236261261261261,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
5146 OPC NN_1,294 OPC NN,1,root,1.0,1.0,0.18967496184709298,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
5150 COP NN,294 OPC NN,1,root,0.9779836923424047,0.9779836923424047,0.9662851200919673,nan,0.916083916083916,True,nan,leaf,,,nan,nan,unmatched,walk_only
5152 COP NN,,nan,,nan,0.9734303113605559,0.9607468071702652,0.012708722295401178,0.8771929824561403,False,0.14500000000000002,discordant,,,nan,nan,unmatched,both_unmatched
5155 MFOL NN,295 Oligo NN,1,root,0.9990774468355349,0.9990774468355349,0.36574725105240236,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
5158 MOL NN,295 Oligo NN,1,root,0.9948694185989267,0.9948694185989267,0.24131664451336582,nan,0.9966666666666667,True,nan,leaf,,,nan,nan,unmatched,walk_only
5182 Peri NN,299 Peri NN,1,root,0.999996307783193,0.999996307783193,0.5227524245557033,nan,1.0,True,nan,leaf,,,nan,nan,unmatched,walk_only
5188 Endo NN,301 Endo NN,1,root,0.9985489587948604,0.9985489587948604,0.9433348102200562,nan,0.9733333333333334,True,nan,leaf,,,nan,nan,unmatched,walk_only
5190 Microglia NN,302 Microglia NN,1,root,0.9999884310540048,0.9999884310540048,0.8759458228720524,nan,0.9966666666666667,True,nan,leaf,,,nan,nan,unmatched,walk_only
