"scheme","calibration","rho","alpha","model","argmax","confident","cross_family","singleton_argmax","singleton_med_ratio"
"abundance","clip",3,0.1,"fugw",9,6,14,0,1.46
"hierarchy","clip",3,0.1,"fugw",23,23,0,8,1
"uniform","clip",3,0.1,"fugw",10,8,13,0,4.87
"abundance","clip",3,0.25,"fugw",10,6,13,0,1
"hierarchy","clip",3,0.25,"fugw",21,18,2,6,1
"uniform","clip",3,0.25,"fugw",14,9,9,1,4.9
"abundance","clip",3,0.5,"fugw",10,4,13,0,1
"hierarchy","clip",3,0.5,"fugw",21,18,2,6,1
"uniform","clip",3,0.5,"fugw",15,7,8,1,4.66
"abundance","clip",3,0.75,"fugw",11,3,12,1,1.38
"hierarchy","clip",3,0.75,"fugw",21,18,2,6,1
"uniform","clip",3,0.75,"fugw",13,8,10,0,4.6
"abundance","clip",3,0.9,"fugw",11,4,12,1,1.01
"hierarchy","clip",3,0.9,"fugw",21,18,2,6,1
"uniform","clip",3,0.9,"fugw",14,9,9,0,3.54
"abundance","clip",3,1,"uot_molecular",11,3,12,1,2.11
"hierarchy","clip",3,1,"uot_molecular",18,5,5,4,4.06
"uniform","clip",3,1,"uot_molecular",13,4,10,0,7.96
