"row","col","value"
"0105 L2/3 IT CTX Glut_1","004 L6 IT CTX Glut",0
"0106 L2/3 IT CTX Glut_1","004 L6 IT CTX Glut",0
"0109 L2/3 IT CTX Glut_2","004 L6 IT CTX Glut",0
"0351 L5 ET CTX Glut_1","004 L6 IT CTX Glut",0
"0352 L5 ET CTX Glut_1","004 L6 IT CTX Glut",0
"0361 L5 ET CTX Glut_2","004 L6 IT CTX Glut",0
"0362 L5 ET CTX Glut_2","004 L6 IT CTX Glut",0
"0377 L5 ET CTX Glut_5","004 L6 IT CTX Glut",0
"0379 L5 ET CTX Glut_5","004 L6 IT CTX Glut",0
"0421 L6b CTX Glut_1","004 L6 IT CTX Glut",0
"0430 L6b CTX Glut_3","004 L6 IT CTX Glut",0
"0433 L6 CT CTX Glut_1","004 L6 IT CTX Glut",0
"0436 L6 CT CTX Glut_1","004 L6 IT CTX Glut",0
"0439 L6 CT CTX Glut_2","004 L6 IT CTX Glut",0
"0440 L6 CT CTX Glut_2","004 L6 IT CTX Glut",0
"0441 L6 CT CTX Glut_2","004 L6 IT CTX Glut",0
"0445 L6 CT CTX Glut_3","004 L6 IT CTX Glut",0
"0449 L6 CT CTX Glut_5","004 L6 IT CTX Glut",0
"0452 L6 CT CTX Glut_5","004 L6 IT CTX Glut",0
"0461 L5 NP CTX Glut_2","004 L6 IT CTX Glut",0
"0463 L5 NP CTX Glut_2","004 L6 IT CTX Glut",0
"0465 L5 NP CTX Glut_3","004 L6 IT CTX Glut",0
"0470 L5 NP CTX Glut_4","004 L6 IT CTX Glut",0
"0497 Vip Gaba_1","004 L6 IT CTX Glut",0
"0513 Vip Gaba_3","004 L6 IT CTX Glut",0
"0514 Vip Gaba_3","004 L6 IT CTX Glut",0
"0516 Vip Gaba_3","004 L6 IT CTX Glut",0
"0522 Vip Gaba_4","004 L6 IT CTX Glut",0
"0527 Vip Gaba_5","004 L6 IT CTX Glut",0
"0529 Vip Gaba_5","004 L6 IT CTX Glut",0
"0533 Vip Gaba_6","004 L6 IT CTX Glut",0
"0547 Sncg Gaba_6","004 L6 IT CTX Glut",0
"0553 Sncg Gaba_3","004 L6 IT CTX Glut",0
"0560 Sncg Gaba_4","004 L6 IT CTX Glut",0
"0580 Lamp5 Gaba_1","004 L6 IT CTX Glut",0
"0581 Lamp5 Gaba_1","004 L6 IT CTX Glut",0
"0582 Lamp5 Gaba_1","004 L6 IT CTX Glut",0
"0587 Lamp5 Gaba_2","004 L6 IT CTX Glut",0
"0605 Pvalb chandelier Gaba","004 L6 IT CTX Glut",0
"0607 Pvalb Gaba_1","004 L6 IT CTX Glut",0
"0618 Pvalb Gaba_3","004 L6 IT CTX Glut",0
"0619 Pvalb Gaba_3","004 L6 IT CTX Glut",0
"0621 Pvalb Gaba_3","004 L6 IT CTX Glut",0
"0620 Pvalb Gaba_8","004 L6 IT CTX Glut",0
