"query","split_at","child","vote","child_auroc","is_best","is_second","auc_gap","sib_lo","par_lo","margin_pass","override","decision","true_path","case"
"0044 L6 IT CTX Glut_3","root","299 Peri NN",0,0.441591351593128,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","301 Endo NN",0,0.355430189893249,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"0044 L6 IT CTX Glut_3","root","302 Microglia NN",0,0.456956344166266,FALSE,FALSE,0.111815825792856,0.098967146004205,NA,TRUE,FALSE,"descend",FALSE,"adjacent same-class near-miss"
"039 Lamp5 Gaba","root","class:01 IT-ET Glut",0,0.130086405733328,FALSE,TRUE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:02 NP-CT-L6b Glut",0,0.212620621188086,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:04 CGE GABA",1,0.942723240471267,TRUE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",TRUE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:05 MGE GABA",0,0.796352548069941,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:06 CNU GABA",0,0.751338683554034,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:28 Astro-Epen",0,0.780884681089053,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:29 Oligo",0,0.880950894358066,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
"039 Lamp5 Gaba","root","class:31 Vascular",0,0.804318927596796,FALSE,FALSE,0.812636834737939,NA,NA,FALSE,TRUE,"descend",FALSE,"Lamp5 forward miss (one level deep)"
