"row","col","value"
"030 L5 NP CTX Glut","0041 L6 IT CTX Glut_2",0.000890471950133571
"036 Vip Gaba","0041 L6 IT CTX Glut_2",0
"037 Sncg Gaba","0041 L6 IT CTX Glut_2",0
"039 Lamp5 Gaba","0041 L6 IT CTX Glut_2",0
"041 Pvalb chandelier Gaba","0041 L6 IT CTX Glut_2",0
"042 Pvalb Gaba","0041 L6 IT CTX Glut_2",0
"043 Sst Gaba","0041 L6 IT CTX Glut_2",0
"046 Sst Chodl Gaba","0041 L6 IT CTX Glut_2",0
"287 Astro-TE NN","0041 L6 IT CTX Glut_2",0
"294 OPC NN","0041 L6 IT CTX Glut_2",0
"295 Oligo NN","0041 L6 IT CTX Glut_2",0
"299 Peri NN","0041 L6 IT CTX Glut_2",0
"301 Endo NN","0041 L6 IT CTX Glut_2",0
"302 Microglia NN","0041 L6 IT CTX Glut_2",0
"001 Car3 Glut","0042 L6 IT CTX Glut_2",0
"003 L5/6 IT TPE-ENT Glut","0042 L6 IT CTX Glut_2",0
"004 L6 IT CTX Glut","0042 L6 IT CTX Glut_2",0.0589147286821705
"005 L5 IT CTX Glut","0042 L6 IT CTX Glut_2",0.0147420147420147
"006 L4/5 IT CTX Glut","0042 L6 IT CTX Glut_2",0.000263365815117198
"007 L2/3 IT CTX Glut","0042 L6 IT CTX Glut_2",0
"022 L5 ET CTX Glut","0042 L6 IT CTX Glut_2",0
"027 L6b CTX Glut","0042 L6 IT CTX Glut_2",0
"028 L6 CT CTX Glut","0042 L6 IT CTX Glut_2",0.000499001996007984
"030 L5 NP CTX Glut","0042 L6 IT CTX Glut_2",0
"036 Vip Gaba","0042 L6 IT CTX Glut_2",0
"037 Sncg Gaba","0042 L6 IT CTX Glut_2",0
"039 Lamp5 Gaba","0042 L6 IT CTX Glut_2",0
"041 Pvalb chandelier Gaba","0042 L6 IT CTX Glut_2",0
"042 Pvalb Gaba","0042 L6 IT CTX Glut_2",0
"043 Sst Gaba","0042 L6 IT CTX Glut_2",0
"046 Sst Chodl Gaba","0042 L6 IT CTX Glut_2",0
"287 Astro-TE NN","0042 L6 IT CTX Glut_2",0
"294 OPC NN","0042 L6 IT CTX Glut_2",0
"295 Oligo NN","0042 L6 IT CTX Glut_2",0
"299 Peri NN","0042 L6 IT CTX Glut_2",0
"301 Endo NN","0042 L6 IT CTX Glut_2",0
"302 Microglia NN","0042 L6 IT CTX Glut_2",0
"001 Car3 Glut","0044 L6 IT CTX Glut_3",0
"003 L5/6 IT TPE-ENT Glut","0044 L6 IT CTX Glut_3",0
"004 L6 IT CTX Glut","0044 L6 IT CTX Glut_3",0.0852713178294574
"005 L5 IT CTX Glut","0044 L6 IT CTX Glut_3",0.0196560196560197
"006 L4/5 IT CTX Glut","0044 L6 IT CTX Glut_3",0.00158019489070319
"007 L2/3 IT CTX Glut","0044 L6 IT CTX Glut_3",0
"022 L5 ET CTX Glut","0044 L6 IT CTX Glut_3",0
"027 L6b CTX Glut","0044 L6 IT CTX Glut_3",0
"028 L6 CT CTX Glut","0044 L6 IT CTX Glut_3",0
"030 L5 NP CTX Glut","0044 L6 IT CTX Glut_3",0
"036 Vip Gaba","0044 L6 IT CTX Glut_3",0
"037 Sncg Gaba","0044 L6 IT CTX Glut_3",0
"039 Lamp5 Gaba","0044 L6 IT CTX Glut_3",0
"041 Pvalb chandelier Gaba","0044 L6 IT CTX Glut_3",0
"042 Pvalb Gaba","0044 L6 IT CTX Glut_3",0
"043 Sst Gaba","0044 L6 IT CTX Glut_3",0
"046 Sst Chodl Gaba","0044 L6 IT CTX Glut_3",0
"287 Astro-TE NN","0044 L6 IT CTX Glut_3",0
"294 OPC NN","0044 L6 IT CTX Glut_3",0
"295 Oligo NN","0044 L6 IT CTX Glut_3",0
"299 Peri NN","0044 L6 IT CTX Glut_3",0
"301 Endo NN","0044 L6 IT CTX Glut_3",0
"302 Microglia NN","0044 L6 IT CTX Glut_3",0
"001 Car3 Glut","0049 L6 IT CTX Glut_4",0
"003 L5/6 IT TPE-ENT Glut","0049 L6 IT CTX Glut_4",0
"004 L6 IT CTX Glut","0049 L6 IT CTX Glut_4",0.0608527131782946
"005 L5 IT CTX Glut","0049 L6 IT CTX Glut_4",0.00368550368550369
"006 L4/5 IT CTX Glut","0049 L6 IT CTX Glut_4",0
"007 L2/3 IT CTX Glut","0049 L6 IT CTX Glut_4",0
"022 L5 ET CTX Glut","0049 L6 IT CTX Glut_4",0
"027 L6b CTX Glut","0049 L6 IT CTX Glut_4",0
"028 L6 CT CTX Glut","0049 L6 IT CTX Glut_4",0
"030 L5 NP CTX Glut","0049 L6 IT CTX Glut_4",0
"036 Vip Gaba","0049 L6 IT CTX Glut_4",0
"037 Sncg Gaba","0049 L6 IT CTX Glut_4",0
"039 Lamp5 Gaba","0049 L6 IT CTX Glut_4",0
"041 Pvalb chandelier Gaba","0049 L6 IT CTX Glut_4",0
"042 Pvalb Gaba","0049 L6 IT CTX Glut_4",0
"043 Sst Gaba","0049 L6 IT CTX Glut_4",0
"046 Sst Chodl Gaba","0049 L6 IT CTX Glut_4",0
"287 Astro-TE NN","0049 L6 IT CTX Glut_4",0
"294 OPC NN","0049 L6 IT CTX Glut_4",0
"295 Oligo NN","0049 L6 IT CTX Glut_4",0
"299 Peri NN","0049 L6 IT CTX Glut_4",0
"301 Endo NN","0049 L6 IT CTX Glut_4",0
"302 Microglia NN","0049 L6 IT CTX Glut_4",0
"001 Car3 Glut","0053 L6 IT CTX Glut_5",0
"003 L5/6 IT TPE-ENT Glut","0053 L6 IT CTX Glut_5",0
"004 L6 IT CTX Glut","0053 L6 IT CTX Glut_5",0.00581395348837209
"005 L5 IT CTX Glut","0053 L6 IT CTX Glut_5",0
"006 L4/5 IT CTX Glut","0053 L6 IT CTX Glut_5",0
"007 L2/3 IT CTX Glut","0053 L6 IT CTX Glut_5",0
"022 L5 ET CTX Glut","0053 L6 IT CTX Glut_5",0
"027 L6b CTX Glut","0053 L6 IT CTX Glut_5",0
"028 L6 CT CTX Glut","0053 L6 IT CTX Glut_5",0
"030 L5 NP CTX Glut","0053 L6 IT CTX Glut_5",0
"036 Vip Gaba","0053 L6 IT CTX Glut_5",0
"037 Sncg Gaba","0053 L6 IT CTX Glut_5",0
"039 Lamp5 Gaba","0053 L6 IT CTX Glut_5",0
"041 Pvalb chandelier Gaba","0053 L6 IT CTX Glut_5",0
"042 Pvalb Gaba","0053 L6 IT CTX Glut_5",0
"043 Sst Gaba","0053 L6 IT CTX Glut_5",0
"046 Sst Chodl Gaba","0053 L6 IT CTX Glut_5",0
"287 Astro-TE NN","0053 L6 IT CTX Glut_5",0
"294 OPC NN","0053 L6 IT CTX Glut_5",0
"295 Oligo NN","0053 L6 IT CTX Glut_5",0
"299 Peri NN","0053 L6 IT CTX Glut_5",0
"301 Endo NN","0053 L6 IT CTX Glut_5",0
"302 Microglia NN","0053 L6 IT CTX Glut_5",0
"001 Car3 Glut","0054 L6 IT CTX Glut_5",0
"003 L5/6 IT TPE-ENT Glut","0054 L6 IT CTX Glut_5",0.00205761316872428
"004 L6 IT CTX Glut","0054 L6 IT CTX Glut_5",0.00968992248062015
"005 L5 IT CTX Glut","0054 L6 IT CTX Glut_5",0.00614250614250614
"006 L4/5 IT CTX Glut","0054 L6 IT CTX Glut_5",0
"007 L2/3 IT CTX Glut","0054 L6 IT CTX Glut_5",0
"022 L5 ET CTX Glut","0054 L6 IT CTX Glut_5",0
"027 L6b CTX Glut","0054 L6 IT CTX Glut_5",0
"028 L6 CT CTX Glut","0054 L6 IT CTX Glut_5",0
"030 L5 NP CTX Glut","0054 L6 IT CTX Glut_5",0
"036 Vip Gaba","0054 L6 IT CTX Glut_5",0
"037 Sncg Gaba","0054 L6 IT CTX Glut_5",0
"039 Lamp5 Gaba","0054 L6 IT CTX Glut_5",0
"041 Pvalb chandelier Gaba","0054 L6 IT CTX Glut_5",0
"042 Pvalb Gaba","0054 L6 IT CTX Glut_5",0
"043 Sst Gaba","0054 L6 IT CTX Glut_5",0
"046 Sst Chodl Gaba","0054 L6 IT CTX Glut_5",0
