"query","argmax_correct","true_mass","fam_margin","H_family","H_within","eff_leaves","n_true","eff_ratio","category","condition"
"302 Microglia NN",TRUE,1,1,1.346190051631e-312,0,1,1,1,"confident_correct","donor"
"001 Car3 Glut",TRUE,0.911854893099739,0.823709786199477,0.298225141170737,0,1.34746512360705,1,1.34746512360705,"confident_correct","platform"
"003 L5/6 IT TPE-ENT Glut",TRUE,0.561928000363256,0.235678771395776,1.00822061272616,0.69043835614045,4.0398083695415,2,2.01990418477075,"underconfident_correct","platform"
"004 L6 IT CTX Glut",TRUE,0.907049826332634,0.814099652665267,0.30931082753287,2.09513778382704,9.11302938930957,11,0.828457217209961,"confident_correct","platform"
"005 L5 IT CTX Glut",TRUE,0.560958371938,0.159944935028052,0.81505543829004,0.672162020564674,3.29402542737058,4,0.823506356842645,"underconfident_correct","platform"
"006 L4/5 IT CTX Glut",TRUE,1,1,1.99654565794997e-316,2.13506638720697,8.45760796519497,13,0.65058522809192,"confident_correct","platform"
"007 L2/3 IT CTX Glut",TRUE,0.96373072116699,0.927461442333981,0.155900820630863,1.25038854999845,3.8998522962415,4,0.974963074060375,"confident_correct","platform"
"022 L5 ET CTX Glut",TRUE,1,1,0,1.78889290661008,5.9828252522977,6,0.997137542049617,"confident_correct","platform"
"027 L6b CTX Glut",TRUE,0.908313376423956,0.816626752847912,0.306422784251771,0.693025751155135,2.54952570602211,2,1.27476285301105,"confident_correct","platform"
"028 L6 CT CTX Glut",TRUE,1,1,1.11022302462516e-16,1.91564917317177,6.79134612598985,8,0.848918265748732,"confident_correct","platform"
"030 L5 NP CTX Glut",TRUE,1,1,2.22044604925031e-16,1.32924572900298,3.77819253149723,4,0.944548132874308,"confident_correct","platform"
"036 Vip Gaba",TRUE,1,1,2.22044604925031e-16,1.9899420649649,7.31510994888122,8,0.914388743610152,"confident_correct","platform"
"037 Sncg Gaba",TRUE,1,1,2.45954221454417e-33,1.09856134642469,2.99984717716235,3,0.999949059054116,"confident_correct","platform"
"039 Lamp5 Gaba",TRUE,1,1,7.88995613391385e-317,1.3431596859565,3.83112956752271,4,0.957782391880676,"confident_correct","platform"
"041 Pvalb chandelier Gaba",TRUE,1,1,8.27183480250161e-74,0,1,1,1,"confident_correct","platform"
"042 Pvalb Gaba",TRUE,1,1,7.36872774699554e-317,1.94855710535589,7.01855323807668,8,0.877319154759584,"confident_correct","platform"
"043 Sst Gaba",TRUE,1,1,7.77367234944301e-317,2.52195153429195,12.4528751786393,14,0.889491084188524,"confident_correct","platform"
"046 Sst Chodl Gaba",TRUE,1,1,1.9072905251399e-317,0,1,1,1,"confident_correct","platform"
"287 Astro-TE NN",TRUE,1,1,2.2645202437746e-318,0,1,1,1,"confident_correct","platform"
"294 OPC NN",TRUE,0.997650746498342,0.995301492996684,0.0165680682981565,0,1.01670607988334,1,1.01670607988334,"confident_correct","platform"
"295 Oligo NN",TRUE,1,1,3.35770965438878e-318,1.28234599623418,3.60508733397551,4,0.901271833493879,"confident_correct","platform"
"299 Peri NN",TRUE,1,1,3.78344108075372e-318,0,1,1,1,"confident_correct","platform"
"301 Endo NN",TRUE,1,1,4.06415435875134e-318,0,1,1,1,"confident_correct","platform"
"302 Microglia NN",TRUE,1,1,7.67560624753127e-319,0,1,1,1,"confident_correct","platform"
