query,parent,depth,sibling,auc_correct,auc_sibling,global_gap,local_pref
299 Peri NN,31 Vascular,2,301 Endo NN,1.0,0.984,0.016,1.0
301 Endo NN,root,1,01 IT-ET Glut,0.9975,0.1981,0.7994,1.0
301 Endo NN,root,1,02 NP-CT-L6b Glut,0.9975,0.5517,0.4458,1.0
301 Endo NN,root,1,04 CGE GABA,0.9975,0.6093,0.3882,1.0
301 Endo NN,root,1,05 MGE GABA,0.9975,0.6617,0.3358,1.0
301 Endo NN,root,1,06 CNU GABA,0.9975,0.62,0.3775,1.0
301 Endo NN,root,1,28 Astro-Epen,0.9975,0.9562,0.0413,0.9798
301 Endo NN,root,1,29 Oligo,0.9975,0.9258,0.0717,1.0
301 Endo NN,root,1,32 Immune,0.9975,0.9826,0.0149,0.9697
301 Endo NN,31 Vascular,2,299 Peri NN,0.9997,0.9894,0.0103,0.9192
302 Microglia NN,root,1,01 IT-ET Glut,0.9998,0.2922,0.7076,1.0
302 Microglia NN,root,1,02 NP-CT-L6b Glut,0.9998,0.3658,0.634,1.0
302 Microglia NN,root,1,04 CGE GABA,0.9998,0.6398,0.36,1.0
302 Microglia NN,root,1,05 MGE GABA,0.9998,0.6501,0.3497,1.0
302 Microglia NN,root,1,06 CNU GABA,0.9998,0.6017,0.3981,1.0
302 Microglia NN,root,1,28 Astro-Epen,0.9998,0.9108,0.0889,1.0
302 Microglia NN,root,1,29 Oligo,0.9998,0.9123,0.0875,1.0
302 Microglia NN,root,1,31 Vascular,0.9998,0.981,0.0188,1.0
