level,tier,a,b,n_a,n_b,signed,unsigned
cluster,same_supertype,0034 L6 IT CTX Glut_1,0035 L6 IT CTX Glut_1,97,34,0.9933,0.9933
cluster,same_supertype,0034 L6 IT CTX Glut_1,0036 L6 IT CTX Glut_1,97,20,0.8536,0.8536
cluster,same_supertype,0034 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,97,51,0.9668,0.9668
cluster,same_supertype,0035 L6 IT CTX Glut_1,0036 L6 IT CTX Glut_1,34,20,1.0,1.0
cluster,same_supertype,0035 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,34,51,0.9585,0.9585
cluster,same_supertype,0036 L6 IT CTX Glut_1,0037 L6 IT CTX Glut_1,20,51,0.9824,0.9824
cluster,same_supertype,0038 L6 IT CTX Glut_2,0041 L6 IT CTX Glut_2,76,121,0.9681,0.9681
cluster,same_supertype,0038 L6 IT CTX Glut_2,0042 L6 IT CTX Glut_2,76,24,0.9786,0.9786
cluster,same_supertype,0041 L6 IT CTX Glut_2,0042 L6 IT CTX Glut_2,121,24,0.9828,0.9828
cluster,same_supertype,0053 L6 IT CTX Glut_5,0054 L6 IT CTX Glut_5,30,48,1.0,1.0
cluster,same_supertype,0055 L5 IT CTX Glut_1,0056 L5 IT CTX Glut_1,108,78,0.9539,0.9539
cluster,same_supertype,0069 L4/5 IT CTX Glut_1,0072 L4/5 IT CTX Glut_1,76,158,0.8384,0.8384
cluster,same_supertype,0075 L4/5 IT CTX Glut_2,0076 L4/5 IT CTX Glut_2,70,35,0.98,0.98
cluster,same_supertype,0075 L4/5 IT CTX Glut_2,0078 L4/5 IT CTX Glut_2,70,141,0.9792,0.9792
cluster,same_supertype,0076 L4/5 IT CTX Glut_2,0078 L4/5 IT CTX Glut_2,35,141,0.9838,0.9838
cluster,same_supertype,0083 L4/5 IT CTX Glut_3,0084 L4/5 IT CTX Glut_3,79,122,1.0,1.0
cluster,same_supertype,0090 L4/5 IT CTX Glut_4,0091 L4/5 IT CTX Glut_4,37,173,0.9881,0.9881
cluster,same_supertype,0090 L4/5 IT CTX Glut_4,0094 L4/5 IT CTX Glut_4,37,61,1.0,1.0
cluster,same_supertype,0091 L4/5 IT CTX Glut_4,0094 L4/5 IT CTX Glut_4,173,61,0.9966,0.9966
cluster,same_supertype,0096 L4/5 IT CTX Glut_5,0098 L4/5 IT CTX Glut_5,160,106,0.9713,0.9713
cluster,same_supertype,0096 L4/5 IT CTX Glut_5,0099 L4/5 IT CTX Glut_5,160,94,0.9833,0.9833
cluster,same_supertype,0098 L4/5 IT CTX Glut_5,0099 L4/5 IT CTX Glut_5,106,94,0.8506,0.8506
cluster,same_supertype,0104 L2/3 IT CTX Glut_1,0105 L2/3 IT CTX Glut_1,11,86,0.9937,0.9937
cluster,same_supertype,0104 L2/3 IT CTX Glut_1,0106 L2/3 IT CTX Glut_1,11,174,0.9687,0.9687
cluster,same_supertype,0105 L2/3 IT CTX Glut_1,0106 L2/3 IT CTX Glut_1,86,174,0.9966,0.9966
cluster,same_supertype,0351 L5 ET CTX Glut_1,0352 L5 ET CTX Glut_1,73,56,0.9741,0.9741
cluster,same_supertype,0361 L5 ET CTX Glut_2,0362 L5 ET CTX Glut_2,15,39,0.9932,0.9932
cluster,same_supertype,0377 L5 ET CTX Glut_5,0379 L5 ET CTX Glut_5,61,25,0.9495,0.9495
cluster,same_supertype,0433 L6 CT CTX Glut_1,0436 L6 CT CTX Glut_1,122,119,0.9698,0.9698
cluster,same_supertype,0439 L6 CT CTX Glut_2,0440 L6 CT CTX Glut_2,49,49,0.9929,0.9929
cluster,same_supertype,0439 L6 CT CTX Glut_2,0441 L6 CT CTX Glut_2,49,35,0.9872,0.9872
cluster,same_supertype,0440 L6 CT CTX Glut_2,0441 L6 CT CTX Glut_2,49,35,1.0,1.0
cluster,same_supertype,0449 L6 CT CTX Glut_5,0452 L6 CT CTX Glut_5,7,111,0.9936,0.9936
cluster,same_supertype,0461 L5 NP CTX Glut_2,0463 L5 NP CTX Glut_2,100,19,0.9679,0.9679
cluster,same_supertype,0513 Vip Gaba_3,0514 Vip Gaba_3,24,20,0.9458,0.9458
cluster,same_supertype,0513 Vip Gaba_3,0516 Vip Gaba_3,24,9,0.9954,0.9954
cluster,same_supertype,0514 Vip Gaba_3,0516 Vip Gaba_3,20,9,1.0,1.0
cluster,same_supertype,0527 Vip Gaba_5,0529 Vip Gaba_5,69,27,0.9941,0.9941
cluster,same_supertype,0580 Lamp5 Gaba_1,0581 Lamp5 Gaba_1,64,39,1.0,1.0
cluster,same_supertype,0580 Lamp5 Gaba_1,0582 Lamp5 Gaba_1,64,58,0.989,0.989
cluster,same_supertype,0581 Lamp5 Gaba_1,0582 Lamp5 Gaba_1,39,58,0.9739,0.9739
cluster,same_supertype,0618 Pvalb Gaba_3,0619 Pvalb Gaba_3,46,123,0.9837,0.9837
cluster,same_supertype,0618 Pvalb Gaba_3,0621 Pvalb Gaba_3,46,55,0.9957,0.9957
cluster,same_supertype,0619 Pvalb Gaba_3,0621 Pvalb Gaba_3,123,55,0.9823,0.9823
cluster,same_supertype,0624 Pvalb Gaba_4,0628 Pvalb Gaba_4,10,57,0.9632,0.9632
cluster,same_supertype,0664 Sst Gaba_4,0666 Sst Gaba_4,12,19,1.0,1.0
cluster,same_supertype,0664 Sst Gaba_4,0668 Sst Gaba_4,12,17,0.9657,0.9657
cluster,same_supertype,0664 Sst Gaba_4,0669 Sst Gaba_4,12,48,0.9931,0.9931
cluster,same_supertype,0666 Sst Gaba_4,0668 Sst Gaba_4,19,17,1.0,1.0
cluster,same_supertype,0666 Sst Gaba_4,0669 Sst Gaba_4,19,48,0.9704,0.9704
cluster,same_supertype,0668 Sst Gaba_4,0669 Sst Gaba_4,17,48,0.9902,0.9902
cluster,same_supertype,0675 Sst Gaba_5,0677 Sst Gaba_5,14,14,0.9643,0.9643
cluster,same_supertype,5150 COP NN,5152 COP NN,75,36,0.997,0.997
cluster,same_subclass,0034 L6 IT CTX Glut_1,0038 L6 IT CTX Glut_2,97,76,1.0,1.0
cluster,same_subclass,0034 L6 IT CTX Glut_1,0041 L6 IT CTX Glut_2,97,121,0.9773,0.9773
cluster,same_subclass,0034 L6 IT CTX Glut_1,0042 L6 IT CTX Glut_2,97,24,1.0,1.0
cluster,same_subclass,0034 L6 IT CTX Glut_1,0044 L6 IT CTX Glut_3,97,101,1.0,1.0
cluster,same_subclass,0034 L6 IT CTX Glut_1,0049 L6 IT CTX Glut_4,97,31,1.0,1.0
cluster,same_subclass,0034 L6 IT CTX Glut_1,0054 L6 IT CTX Glut_5,97,48,1.0,1.0
cluster,same_subclass,0035 L6 IT CTX Glut_1,0038 L6 IT CTX Glut_2,34,76,1.0,1.0
cluster,same_subclass,0035 L6 IT CTX Glut_1,0042 L6 IT CTX Glut_2,34,24,1.0,1.0
cluster,same_subclass,0035 L6 IT CTX Glut_1,0049 L6 IT CTX Glut_4,34,31,1.0,1.0
cluster,same_subclass,0035 L6 IT CTX Glut_1,0053 L6 IT CTX Glut_5,34,30,0.9745,0.9745
cluster,same_subclass,0035 L6 IT CTX Glut_1,0054 L6 IT CTX Glut_5,34,48,1.0,1.0
cluster,same_subclass,0036 L6 IT CTX Glut_1,0038 L6 IT CTX Glut_2,20,76,1.0,1.0
cluster,same_subclass,0036 L6 IT CTX Glut_1,0041 L6 IT CTX Glut_2,20,121,0.9769,0.9769
cluster,same_subclass,0036 L6 IT CTX Glut_1,0042 L6 IT CTX Glut_2,20,24,1.0,1.0
cluster,same_subclass,0036 L6 IT CTX Glut_1,0044 L6 IT CTX Glut_3,20,101,1.0,1.0
cluster,same_subclass,0036 L6 IT CTX Glut_1,0049 L6 IT CTX Glut_4,20,31,1.0,1.0
cluster,same_subclass,0036 L6 IT CTX Glut_1,0053 L6 IT CTX Glut_5,20,30,0.9933,0.9933
cluster,same_subclass,0036 L6 IT CTX Glut_1,0054 L6 IT CTX Glut_5,20,48,1.0,1.0
cluster,same_subclass,0037 L6 IT CTX Glut_1,0038 L6 IT CTX Glut_2,51,76,1.0,1.0
cluster,same_subclass,0037 L6 IT CTX Glut_1,0042 L6 IT CTX Glut_2,51,24,1.0,1.0
cluster,same_subclass,0037 L6 IT CTX Glut_1,0049 L6 IT CTX Glut_4,51,31,0.9994,0.9994
cluster,same_subclass,0037 L6 IT CTX Glut_1,0053 L6 IT CTX Glut_5,51,30,0.9895,0.9895
cluster,same_subclass,0038 L6 IT CTX Glut_2,0044 L6 IT CTX Glut_3,76,101,0.9896,0.9896
cluster,same_subclass,0038 L6 IT CTX Glut_2,0049 L6 IT CTX Glut_4,76,31,1.0,1.0
cluster,same_subclass,0041 L6 IT CTX Glut_2,0044 L6 IT CTX Glut_3,121,101,0.9998,0.9998
cluster,same_subclass,0041 L6 IT CTX Glut_2,0049 L6 IT CTX Glut_4,121,31,1.0,1.0
cluster,same_subclass,0041 L6 IT CTX Glut_2,0053 L6 IT CTX Glut_5,121,30,0.992,0.992
cluster,same_subclass,0042 L6 IT CTX Glut_2,0044 L6 IT CTX Glut_3,24,101,1.0,1.0
cluster,same_subclass,0042 L6 IT CTX Glut_2,0054 L6 IT CTX Glut_5,24,48,0.9983,0.9983
cluster,same_subclass,0044 L6 IT CTX Glut_3,0049 L6 IT CTX Glut_4,101,31,1.0,1.0
cluster,same_subclass,0044 L6 IT CTX Glut_3,0054 L6 IT CTX Glut_5,101,48,1.0,1.0
cluster,same_subclass,0049 L6 IT CTX Glut_4,0053 L6 IT CTX Glut_5,31,30,1.0,1.0
cluster,same_subclass,0049 L6 IT CTX Glut_4,0054 L6 IT CTX Glut_5,31,48,1.0,1.0
cluster,same_subclass,0055 L5 IT CTX Glut_1,0061 L5 IT CTX Glut_3,108,30,0.9735,0.9735
cluster,same_subclass,0061 L5 IT CTX Glut_3,0065 L5 IT CTX Glut_5,30,141,1.0,1.0
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0075 L4/5 IT CTX Glut_2,76,70,1.0,1.0
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0076 L4/5 IT CTX Glut_2,76,35,1.0,1.0
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0083 L4/5 IT CTX Glut_3,76,79,0.9998,0.9998
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0084 L4/5 IT CTX Glut_3,76,122,1.0,1.0
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0090 L4/5 IT CTX Glut_4,76,37,0.9826,0.9826
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0094 L4/5 IT CTX Glut_4,76,61,1.0,1.0
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0096 L4/5 IT CTX Glut_5,76,160,0.9845,0.9845
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0098 L4/5 IT CTX Glut_5,76,106,0.9962,0.9962
cluster,same_subclass,0069 L4/5 IT CTX Glut_1,0099 L4/5 IT CTX Glut_5,76,94,0.9952,0.9952
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0075 L4/5 IT CTX Glut_2,158,70,0.9999,0.9999
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0076 L4/5 IT CTX Glut_2,158,35,1.0,1.0
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0078 L4/5 IT CTX Glut_2,158,141,0.9972,0.9972
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0083 L4/5 IT CTX Glut_3,158,79,1.0,1.0
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0084 L4/5 IT CTX Glut_3,158,122,0.9992,0.9992
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0090 L4/5 IT CTX Glut_4,158,37,0.9983,0.9983
cluster,same_subclass,0072 L4/5 IT CTX Glut_1,0098 L4/5 IT CTX Glut_5,158,106,0.9999,0.9999
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0083 L4/5 IT CTX Glut_3,70,79,1.0,1.0
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0084 L4/5 IT CTX Glut_3,70,122,1.0,1.0
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0090 L4/5 IT CTX Glut_4,70,37,1.0,1.0
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0091 L4/5 IT CTX Glut_4,70,173,1.0,1.0
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0094 L4/5 IT CTX Glut_4,70,61,1.0,1.0
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0098 L4/5 IT CTX Glut_5,70,106,0.9981,0.9981
cluster,same_subclass,0075 L4/5 IT CTX Glut_2,0099 L4/5 IT CTX Glut_5,70,94,1.0,1.0
